"고유번호","작품분류코드","작품분류명","관리번호(년도)","관리번호(번호)","작품명(국문)","작품명(영문)","작품규격","액자규격","제작년도","재료/기법","기증자","수집년도","소장처분류코드","소장처분류명","작품캡션","작가명","메인이미지","썸네일이미지"
"4458","A02","회화","2016","220","처음과 끝","Alpha and Omega","198*274cm","","1991","종이에 아크릴릭","작가 기증","2016","B01","서소문본관 수장고","","정연희","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13120","http://collections.eseoul.go.kr/data/art/thumb/13120.jpg"
"4459","A02","회화","2016","233","","Bather","91*203cm","","1982","나무에 유채, 카보네이트","작가 기증","2016","B01","서소문본관 수장고","","폴린 최","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13117","http://collections.eseoul.go.kr/data/art/thumb/13117.jpg"
"4460","A02","회화","2016","234","","Golden Chandelier","92*61cm","","2011","마일러에 유채","작가 기증","2016","B01","서소문본관 수장고","","폴린 최","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13321","http://collections.eseoul.go.kr/data/art/thumb/13321.jpg"
"4461","A04","조각","2016","235","","Meta as Paint 18","131*38*5cm","","1981","나무에 유채","작가 기증","2016","B01","서소문본관 수장고","","폴린 최","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13320","http://collections.eseoul.go.kr/data/art/thumb/13320.jpg"
"4462","A03","드로잉&판화","2016","236","","Michael","65*50cm","","1982","종이에 먹","작가 기증","2016","B01","서소문본관 수장고","","폴린 최","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13319","http://collections.eseoul.go.kr/data/art/thumb/13319.jpg"
"4463","A02","회화","2016","237","","Neckless Person","91*203cm","","1982","나무에 유채, 카보네이트","작가 기증","2016","B01","서소문본관 수장고","","폴린 최","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13118","http://collections.eseoul.go.kr/data/art/thumb/13118.jpg"
"4464","A04","조각","2016","238","","Red and Black Constellation","30*153*7cm","","1993","나무에 유채, 조명","작가 기증","2016","B01","서소문본관 수장고","","폴린 최","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13318","http://collections.eseoul.go.kr/data/art/thumb/13318.jpg"
"4465","A03","드로잉&판화","2016","239","","Simon","65*50cm","","1982","종이에 먹","작가 기증","2016","B01","서소문본관 수장고","","폴린 최","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13317","http://collections.eseoul.go.kr/data/art/thumb/13317.jpg"
"4466","A03","드로잉&판화","2016","240","","Study for 'Around the World'","57*38cm","","1993","종이에 수채","작가 기증","2016","B01","서소문본관 수장고","","폴린 최","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13316","http://collections.eseoul.go.kr/data/art/thumb/13316.jpg"
"4467","A03","드로잉&판화","2016","241","","Study for 'Eyes in the Needle'","66*102cm","","1982","종이에 수채","작가 기증","2016","B01","서소문본관 수장고","","폴린 최","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13315","http://collections.eseoul.go.kr/data/art/thumb/13315.jpg"
"4468","A03","드로잉&판화","2016","242","","Study for 'Fisherman'","56*152cm","","1997","종이에 수채","작가 기증","2016","B01","서소문본관 수장고","","폴린 최","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13314","http://collections.eseoul.go.kr/data/art/thumb/13314.jpg"
"4469","A03","드로잉&판화","2016","243","","Study for 'Night and Day'","57*38cm","","1993","종이에 수채","작가 기증","2016","B01","서소문본관 수장고","","폴린 최","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13313","http://collections.eseoul.go.kr/data/art/thumb/13313.jpg"
"4470","A02","회화","2016","244","","The Skin has Eyes","153*60*7cm","","1997","나무에 유채","작가 기증","2016","B01","서소문본관 수장고","","폴린 최","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13119","http://collections.eseoul.go.kr/data/art/thumb/13119.jpg"
"4471","A02","회화","2016","245","","Three Legs","142*176cm","","1984","캔버스에 유채","작가 기증","2016","B01","서소문본관 수장고","","폴린 최","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13312","http://collections.eseoul.go.kr/data/art/thumb/13312.jpg"
"4472","A02","회화","2016","246","","To Possess and to be possessed","153*122cm","156*124.5cm","1982","캔버스에 유채","작가 기증","2016","B01","서소문본관 수장고","","폴린 최","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13310","http://collections.eseoul.go.kr/data/art/thumb/13310.jpg"
"4473","A02","회화","2016","247","","Tree Branches","30*160cm","","1992","마일러에 유채","작가 기증","2016","B01","서소문본관 수장고","","폴린 최","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13311","http://collections.eseoul.go.kr/data/art/thumb/13311.jpg"
"4474","A01","한국화","2016","192","서울 사람들","Seoul People","180*496cm","258*496cm","2013","한지에 먹","작가 기증","2016","B01","서소문본관 수장고","","오태갑","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13303","http://collections.eseoul.go.kr/data/art/thumb/13303.jpg"
"4475","A01","한국화","2016","193","아리랑 사람들 108","Arirang People 108","100*204cm","121.5*225.5cm","2013","한지에 먹","작가 기증","2016","B01","서소문본관 수장고","","오태갑","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13304","http://collections.eseoul.go.kr/data/art/thumb/13304.jpg"
"4476","A01","한국화","2016","194","아리랑 사람들 109","Arirang People 109","100*204cm","121.5*225.5cm","2013","한지에 먹","작가 기증","2016","B01","서소문본관 수장고","","오태갑","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13305","http://collections.eseoul.go.kr/data/art/thumb/13305.jpg"
"4477","A01","한국화","2016","195","아리랑 사람들 208","Arirang People 208","68*97m","90.5*128cm","2013","한지에 먹","작가 기증","2016","B01","서소문본관 수장고","","오태갑","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13306","http://collections.eseoul.go.kr/data/art/thumb/13306.jpg"
"4478","A01","한국화","2016","196","아리랑 사람들 210","Arirang People 210","68*97cm","90.5*128cm","2013","한지에 먹","작가 기증","2016","B01","서소문본관 수장고","","오태갑","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13307","http://collections.eseoul.go.kr/data/art/thumb/13307.jpg"
"4479","A01","한국화","2016","197","아리랑 사람들 211","Arirang People 211","68*97cm","90.5*123.5cm","2013","한지에 먹","작가 기증","2016","B01","서소문본관 수장고","","오태갑","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13308","http://collections.eseoul.go.kr/data/art/thumb/13308.jpg"
"4480","A01","한국화","2016","198","아리랑 사람들 213","Arirang People 213","68*97cm","90.5*123.5cm","2013","한지에 먹","작가 기증","2016","B01","서소문본관 수장고","","오태갑","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13309","http://collections.eseoul.go.kr/data/art/thumb/13309.jpg"
"4481","A07","사진","2016","249","SASA 쿠바 골목","","110*196cm","","2013","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13116","http://collections.eseoul.go.kr/data/art/thumb/13116.jpg"
"4482","A07","사진","2016","250","경주 쾌능","","120*180cm","","2007","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13115","http://collections.eseoul.go.kr/data/art/thumb/13115.jpg"
"4483","A07","사진","2016","251","네덜란드 책방","","120*180cm","","2008","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13114","http://collections.eseoul.go.kr/data/art/thumb/13114.jpg"
"4484","A07","사진","2016","252","네팔 남자","","90*120cm","","2005","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13113","http://collections.eseoul.go.kr/data/art/thumb/13113.jpg"
"4485","A07","사진","2016","253","네팔 소녀들","","60*80cm","","2005","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13112","http://collections.eseoul.go.kr/data/art/thumb/13112.jpg"
"4486","A07","사진","2016","254","뉴욕 프린스 스트리트","","110*220cm","","2008","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13111","http://collections.eseoul.go.kr/data/art/thumb/13111.jpg"
"4487","A07","사진","2016","255","드링크 트럭","","60*90cm","","2007","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13110","http://collections.eseoul.go.kr/data/art/thumb/13110.jpg"
"4488","A07","사진","2016","256","런던","","152*228cm","","2006","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13109","http://collections.eseoul.go.kr/data/art/thumb/13109.jpg"
"4489","A07","사진","2016","257","런던 기차역","","120*180cm","","2006","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13108","http://collections.eseoul.go.kr/data/art/thumb/13108.jpg"
"4490","A07","사진","2016","258","롤로피아나","","120*180cm","","2005","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13107","http://collections.eseoul.go.kr/data/art/thumb/13107.jpg"
"4491","A07","사진","2016","259","마드리드 지하철","","79*145cm","","2007","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13106","http://collections.eseoul.go.kr/data/art/thumb/13106.jpg"
"4492","A07","사진","2016","260","베니스 석양","","80*120cm","","2007","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13105","http://collections.eseoul.go.kr/data/art/thumb/13105.jpg"
"4493","A07","사진","2016","261","베니스 골목","","120*180cm","","2007","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13104","http://collections.eseoul.go.kr/data/art/thumb/13104.jpg"
"4494","A07","사진","2016","262","북촌","","80*120cm","","2007","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13103","http://collections.eseoul.go.kr/data/art/thumb/13103.jpg"
"4495","A07","사진","2016","263","비행기 창","","59.5*110cm","","2007","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13102","http://collections.eseoul.go.kr/data/art/thumb/13102.jpg"
"4496","A07","사진","2016","264","파리 장미","","60*90cm","","2005","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13100","http://collections.eseoul.go.kr/data/art/thumb/13100.jpg"
"4497","A07","사진","2016","265","아바나 골목","","60*107cm","","2013","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13099","http://collections.eseoul.go.kr/data/art/thumb/13099.jpg"
"4498","A07","사진","2016","266","아바나 빨간 차","","60*107cm","","2013","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13098","http://collections.eseoul.go.kr/data/art/thumb/13098.jpg"
"4499","A07","사진","2016","267","이태리 건축","","90*130cm","","2015","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13097","http://collections.eseoul.go.kr/data/art/thumb/13097.jpg"
"4500","A07","사진","2016","268","이태리 미술관","","90*130cm","","2015","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13101","http://collections.eseoul.go.kr/data/art/thumb/13101.jpg"
"4501","A07","사진","2016","269","이태리 볼로냐","","90*130cm","","2015","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13095","http://collections.eseoul.go.kr/data/art/thumb/13095.jpg"
"4502","A07","사진","2016","271","체게바라 어록","","45*80*22cm","","2013","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13094","http://collections.eseoul.go.kr/data/art/thumb/13094.jpg"
"4503","A07","사진","2016","272","쿠바 럼 공장","","140*249cm","","2013","디지털 C-프린트, 알루미늄, 사진","작가 기증","2016","B01","서소문본관 수장고","","홍성도","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13093","http://collections.eseoul.go.kr/data/art/thumb/13093.jpg"
